epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,0.0,0.02731611466407776,26.192,36.64
2,0.0,0.024281803810596466,38.716,46.02
3,0.0,0.022371461057662963,46.142,50.02
4,0.0,0.021206323009729387,52.858,56.91
5,0.0,0.016829411244392394,58.538,61.82
6,0.0,0.016759332489967346,62.074,63.64
7,0.0,0.021139719408750535,65.124,62.5
8,0.0,0.017308348321914673,65.668,66.75
9,0.0,0.014031284165382385,70.762,69.8
10,0.0,0.013872878211736678,70.878,69.18
11,0.0,0.013123058044910431,74.256,71.56
12,0.0,0.016809028336405754,77.744,66.97
13,0.0,0.013605986559391022,80.366,72.72
14,0.0,0.01353281552195549,82.392,72.43
15,0.0,0.02313224847316742,83.32,57.49
16,0.0,0.014614165470004081,73.508,69.28
17,0.0,0.013377849140763282,83.846,72.46
18,0.0,0.015359988564252853,87.48,72.51
19,0.0,0.015138634842634202,89.652,73.01
20,0.0,0.015070823812484741,91.842,73.84
21,0.0,0.015931850758194924,93.276,73.76
22,0.0,0.016069159460067747,94.066,74.22
23,0.0,0.017354312217235567,95.092,73.88
24,0.0,0.0176128329962492,95.746,74.7
25,0.0,0.01842537145614624,96.328,73.86
26,0.0,0.01828973984718323,96.726,74.5
27,0.0,0.018331418162584306,97.444,74.9
28,0.0,0.019171450597047807,97.73,74.66
29,0.0,0.019519849932193755,97.804,74.68
30,0.0,0.019813413602113725,97.896,74.77
31,0.0,0.019822863432765007,98.47,75.06
32,0.0,0.020549612018465994,98.806,74.94
33,0.0,0.0214038727581501,98.968,74.45
34,0.0,0.021182734394073487,98.98,75.32
35,0.0,0.022065914332866667,98.988,74.69
36,0.0,0.021573884204030037,98.756,75.36
37,0.0,0.02177092000246048,99.206,75.18
38,0.0,0.0217198184132576,99.422,75.46
39,0.0,0.022500130915641785,99.278,74.71
40,0.0,0.02187990942597389,99.276,75.49
41,0.0,0.022069085282087324,99.564,75.67
42,0.0,0.022840065550804138,99.626,75.48
43,0.0,0.023116562789678573,99.598,75.56
44,0.0,0.02373417254090309,99.704,75.44
45,0.0,0.023568977153301238,99.78,75.84
46,0.0,0.023470829206705093,99.71,75.62
47,0.0,0.023799627405405043,99.772,75.68
48,0.0,0.023735668748617173,99.79,75.77
49,0.0,0.024122015130519866,99.83,75.8
50,0.0,0.024053346320986747,99.868,75.77
51,0.0,0.024511888086795806,99.848,76.11
52,0.0,0.0248975000500679,99.88,75.69
53,0.0,0.024532543629407884,99.884,75.86
54,0.0,0.0244924368172884,99.906,76.26
55,0.0,0.024710736250877382,99.906,76.0
56,0.0,0.025067526346445084,99.884,75.96
57,0.0,0.025253101021051407,99.898,75.76
58,0.0,0.025775902807712556,99.928,75.69
59,0.0,0.024829094129800798,99.928,76.11
60,0.0,0.02504908242225647,99.928,76.39
61,0.0,0.024737334340810775,99.96,75.93
62,0.0,0.025411931788921358,99.958,76.23
63,0.0,0.025623476612567902,99.94,76.12
64,0.0,0.025481164187192918,99.938,76.09
65,0.0,0.025420720052719115,99.964,76.12
66,0.0,0.025401828706264496,99.95,76.01
67,0.0,0.02510523283481598,99.95,76.13
68,0.0,0.025578891360759734,99.966,76.11
69,0.0,0.025637007552385332,99.968,76.29
70,0.0,0.02530586330294609,99.964,76.29
71,0.0,0.0257156260073185,99.966,76.22
72,0.0,0.025859183359146116,99.956,76.06
73,0.0,0.025271422415971755,99.97,76.28
74,0.0,0.02542538408637047,99.962,76.12
75,0.0,0.025768142569065094,99.968,76.18
76,0.0,0.02573247404694557,99.982,76.1
77,0.0,0.026000192081928254,99.988,76.3
78,0.0,0.026091080033779145,99.972,75.82
79,0.0,0.026157701003551484,99.982,76.19
80,0.0,0.026414500737190247,99.972,76.15
81,0.0,0.02601121273636818,99.978,76.18
82,0.0,0.02630166254043579,99.97,75.78
83,0.0,0.026187456840276718,99.996,76.35
84,0.0,0.026285022270679474,99.978,76.41
85,0.0,0.02652184190750122,99.99,76.38
