epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,0.0,0.05718645665645599,10.014,16.14
2,0.0,0.04808296535015106,18.68,24.69
3,0.0,0.04914598758220673,26.53,28.71
4,0.0,0.04032121144533157,33.02,35.01
5,0.0,0.04012937033176422,36.776,37.0
6,0.0,0.0377721070766449,40.826,40.05
7,0.0,0.03459486873149872,44.182,42.53
8,0.0,0.034701977455616,50.342,43.4
9,0.0,0.03399604885578156,53.786,44.5
10,0.0,0.03246070213317871,57.598,47.59
11,0.0,0.033697451293468475,60.902,46.66
12,0.0,0.042551895034313204,65.024,39.97
13,0.0,0.034984472024440764,68.13,47.15
14,0.0,0.03444602688550949,68.932,47.76
15,0.0,0.03587323768138886,77.188,47.74
16,0.0,0.03779994360208511,81.926,47.77
17,0.0,0.04018782807588577,81.726,47.24
18,0.0,0.04172786513566971,83.54,46.12
19,0.0,0.04096456212997437,89.252,48.26
20,0.0,0.04366660999059677,92.178,47.74
